gr,gi
ESTAR POUCO AMARGO [PONTO],(-)AMARGO [PONTO]
EU ESTAR POUCO BÊBADO [PONTO],(-)BÊBADO [PONTO]
EU ESTAR POUCO BÊBADA [PONTO],(-)BÊBADO [PONTO]
ESTAR POUCO BÊBADO [PONTO],(-)BÊBADO [PONTO]
ESTAR POUCO BÊBADO [PONTO],(-)BÊBADO [PONTO]
EU ESTAR POUCO BÊBADO [PONTO],(-)BÊBADO [PONTO]
BEBER POUCO [PONTO],(-)BEBER [PONTO]
MENOS QUE CONSEGUIR VAGA ESCOLA MILITAR ONDE ESTUDO SER GRATUITO CONSEGUIR PATENTE SEGUNDO SARGENTO PODER AJUDAR SEU FAMÍLIA [PONTO] 16 ANO SE MATRICULAR ESCOLA MILITAR ENQUANTO CONTINUAR DAR AULA ESCOLA COM DIFICULDADE PARA SUSTENTAR FAMÍLIA GANHAR ALGUM DINHEIRO EXTRA [PONTO] COM 19 ANO IR PROMOVER ALFERES [PONTO],(-)CONSEGUIR VAGA ESCOLA MILITAR LUGAR ESTUDO GRATUITO CONSEGUIR PATENTE SEGUNDO SARGENTO PODER AJUDAR SUA FAMÍLIA [PONTO] IDADE16 MATRICULAR ESCOLA MILITAR  CONTINUAR ENSINAR ESCOLA  DIFICULDADE SUSTENTAR FAMÍLIA GANHAR ALGUM DINHEIRO EXTRA [PONTO] IDADE 19 PROMOVIDO ALFER [PONTO]
PORÉM POUCO DÉCADA MAIS TARDE MESQUITA CAIRUÃO IR DESTRUIR SEU CENTRO UNIVERSITÁRIO IR RECONSTRUÍDO CIDADE MONTFLEURY 737 D [PONTO] 100º [PONTO] ONDE IR ENTÃO FUNDAR UNIVERSIDADE EZ_ZITOUNA QUE FUNCIONAR ATÉ HOJE SER CONSIDERAR POR MUITO ÁRABE COMO PRIMEIRA UNIVERSIDADE [PONTO],(-)DÉCADA DEPOIS MESQUITA CAIRUÃO_CIDADE DESTRUÍDA SEU CENTRO_LOCAL UNIVERSITÁRIO RECONSTRUÍDO MONTFLEURY_CIDADE 737 D ONDE ENTÃO FUNDAR UNIVERSIDADE EZ_ZITOUNA FUNCIONAR ATÉ HOJE CONSIDERAR (+)ÁRABE PRIMEIRA UNIVERSIDADE [PONTO]
SER POUCO COMPLICAR [PONTO],(-)DIFÍCIL [PONTO]
ESTAR POUCO FRIO [PONTO],(-)FRIO [PONTO]
ESTAR POUCO FRIO HOJE [PONTO],(-)FRIO HOJE [PONTO]
SER POUCO GRANDE [PONTO],(-)GRANDE [PONTO]
ESTAR POUCO LOTAR AQUI [PONTO],(-)LOTADO AQUI [PONTO]
ESTAR MEIO OCUPAR MOMENTO [PONTO],(-)OCUPADO MOMENTO [PONTO]
POUCO PREOCUPAÇÃO SÃO ESPÉCIE QUE NÃO SE QUALIFICAR CLASSIFICAÇÃO COMO DEPENDENTE CONSERVAR OU QUASE AMEAÇAR [PONTO],(-)PREOCUPAÇÃO ESPÉCIE QUE NÃO_QUALIFICAR CLASSIFICAÇÃO COMO DEPENDENTE CONSERVAÇÃO QUASE AMEAÇADA [PONTO]
ESTAR MEIO QUENTE NÉ [INTERROGAÇÃO],(-)QUENTE [INTERROGAÇÃO]
ESTAR MEIO QUENTE [PONTO],(-)QUENTE [PONTO]
POUCO SE SABER SOBRE ESSE ÉPOCA POIS CULTURA LOCAL NÃO PERMITIR USO ESCRITA APENAS PALAVRA [PONTO],(-)SABER SOBRE_ASSUNTO ÉPOCA CULTURA LOCAL NÃO_PERMITIR USO ESCRITA APENAS PALAVRA [PONTO]
POUCO TEMPO DEPOIS SLOVAK IRONS DEIXAR 0 PEPPERS PARA SE DEDICAR OUTRO BANDA WHAT IS THIS [INTERROGAÇÃO] POIS ELES CONSIDERAR RED HOT CHILI PEPPERS COMO BANDA PARALELO QUE NÃO SER VIÁVEL INDÚSTRIA MUSICAL [PONTO],(-)TEMPO DEPOIS SLOVAK IROM DEIXAR CHILI PEPPER DEDICAR OUTRA BANDA_MÚSICA WHAT IS THIS [INTERROGAÇÃO] ELES CONSIDERAR RED HOT CHILI PEPPERS BANDA_MÚSICA PARALELA NÃO VIÁVEL INDÚSTRIA MUSICAL [PONTO]
SER POUCO TÍMIDO [PONTO],(-)TÍMIDO [PONTO]
ESTAR MUITO ADIANTAR [INTERROGAÇÃO],(+) MUITO ADIANTADO [INTERROGAÇÃO]
ESTAR MUITO ADIANTAR [INTERROGAÇÃO],(+)ADIANTADO [INTERROGAÇÃO]
ESTAR MUITO AGRADECER [PONTO],(+)AGRADECIDO [PONTO]
ESTAR MUITO AGRADECER [PONTO],(+)AGRADECIDO [PONTO]
ESTAR MUITO ANIMAR [PONTO],(+)ALEGRE [PONTO]
SER MUITO AMARGO [PONTO],(+)AMARGO [PONTO]
SER MUITO AMARGO [PONTO],(+)AMARGO [PONTO]
ESTAR MUITO ANIMAR [PONTO],(+)ANIMADO [PONTO]
ESTAR MUITO ANIMAR [PONTO],(+)ANIMADO [PONTO]
ESTAR MUITO ANIMAR [PONTO],(+)ANIMADO [PONTO]
POR MUITO ANO TEMPO EXPOSIÇÃO BASTANTE LONGO PERMITIR FOTÓGRAFO CONTAR TEMPO EXPOSIÇÃO MINUTO SEGUNDOS CONTROLAR EXPOSIÇÃO COM SIMPLES DESACOPLAR OU ACOPLAR TAMPA LENTE [PONTO] COM SURGIMENTO MATERIAL FOTOGRAFIA MAIS SENSÍVEL NOVO MODELO CÂMERAS PASSAR INCLUIR MECANISMO OBTURADOR MECÂNICO QUE PERMITIR EXPOR POR FRAÇÃO TEMPO MUITO MAIS CURTA COM GRANDE GANHO PRECISÃO [PONTO],VÁRIOS ANO_DATA TEMPO EXPOSIÇÃO BASTANTE LONGO_DURAÇÃO PERMITIR_LIBERAR FOTÓGRAFO CONTAR_FALAR TEMPO EXPOSIÇÃO MINUTO SEGUNDO CONTROLAR EXPOSIÇÃO SIMPLES DESACOPLAR ACOPLAR TAMPA LENTE [PONTO] SURGIMENTO MATERIAL FOTOGRÁFICO MAIS_QUANTIDADE SENSÍVIL NOVO_RECENTE MODELO CÂMERA PASSAR_CONSEGUIR INCORPORAR MECANISMO OBTURADOR MECÂNICO PERMITIR_LIBERAR EXPOR FRAÇÃO TEMPO (+)MAIS_QUANTIDADE CURTA (+)GANHO PRECISÃO [PONTO]
SER MUITO ANTIGO [PONTO],(+)ANTIGO [PONTO]
SER MUITO ANTIGO [PONTO],(+)ANTIGO [PONTO]
SER MUITO ARRISCAR [PONTO],(+)ARRISCADO [PONTO]
EU ESTAR MUITO ATRASADO [PONTO],(+)ATRASADO [PONTO]
ESTAR MUITO ATRASADO [INTERROGAÇÃO],(+)ATRASAR [INTERROGAÇÃO]
SER MUITO BARATO [PONTO],(+)BARATO [PONTO]
ISTO SER MUITO BARATO [PONTO],(+)BARATO [PONTO]
EU ESTAR MUITO BÊBADO [PONTO],(+)BÊBADO [PONTO]
ISSO SER MUITO BOM [PONTO],(+)BOM [PONTO]
SER MUITO BOM [PONTO],(+)BOM [PONTO]
ISTO ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
ISTO SER MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
SER MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
IR MUITO BOM [PONTO],(+)BOM [PONTO]
IR MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
ISSO SER MUITO BOM [PONTO],(+)BOM [PONTO]
SER MUITO BOM [PONTO],(+)BOM [PONTO]
ISTO ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
ISTO SER MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
ISSO SER MUITO BOM [PONTO],(+)BOM [PONTO]
SER MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
IR MUITO BOM [PONTO],(+)BOM [PONTO]
IR MUITO BOM [PONTO],(+)BOM [PONTO]
ESTAR MUITO BOM [PONTO],(+)BOM [PONTO]
VALER PENA VISITAR CASTELO [PONTO],(+)BOM VISITAR CASTELO [PONTO]
VALER PENA VISITAR NOVA YORK [PONTO],(+)BOM VISITAR NOVA_YORK _CIDADE [PONTO]
SER MUITO BONITO [EXCLAMAÇÃO],(+)BONITO [EXCLAMAÇÃO]
ISSO SER MUITO BONITO [EXCLAMAÇÃO],(+)BONITO [EXCLAMAÇÃO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [EXCLAMAÇÃO],(+)BONITO [PONTO]
SER TÃO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BONITO [PONTO],(+)BONITO [PONTO]
SER MUITO BRANCO [PONTO],(+)BRANCO [PONTO]
SER MUITO BRILHANTE [PONTO],(+)BRILHANTE [PONTO]
SER MUITO BRILHANTE [PONTO],(+)BRILHANTE [PONTO]
SER MUITO BRILHANTE [PONTO],(+)BRILHAR [PONTO]
FAZER MUITO CALOR [PONTO],(+)CALOR [PONTO]
FAZER MUITO CALOR [PONTO],(+)CALOR [PONTO]
ESTAR MUITO QUENTE PARA MIM [PONTO],(+)CALOR [PONTO]
ESTAR BEM QUENTE HOJE [PONTO],(+)CALOR HOJE [PONTO]
HOJE FAZER MUITO CALOR [PONTO],(+)CALOR HOJE [PONTO]
HOJE ESTAR MUITO CALOR [PONTO],(+)CALOR HOJE [PONTO]
ESTAR MUITO QUENTE HOJE [PONTO],(+)CALOR HOJE [PONTO]
ESTAR MORTO CANSAÇO [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR BEM CANSAR [PONTO],(+)CANSADO [PONTO]
